web-scraper-order,web-scraper-start-url,name,rating
"1615237511-54","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","3.2"
"1615237511-49","https://www.rappi.com.mx/restaurantes/category/pizza","San Teo","null"
"1615237511-73","https://www.rappi.com.mx/restaurantes/category/pizza","Stromboli Pizza Villas","null"
"1615237511-70","https://www.rappi.com.mx/restaurantes/category/pizza","Galia - Postreria y Pizza","null"
"1615237511-59","https://www.rappi.com.mx/restaurantes/category/pizza","College Bar","null"
"1615237511-56","https://www.rappi.com.mx/restaurantes/category/pizza","Dio Pizza.","null"
"1615237511-72","https://www.rappi.com.mx/restaurantes/category/pizza","El Rincon Del Jaguar (el Sabino)","null"
"1615237511-78","https://www.rappi.com.mx/restaurantes/category/pizza","U' Furno","null"
"1615237511-69","https://www.rappi.com.mx/restaurantes/category/pizza","Furiosa Sports Bar","null"
"1615237511-66","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Sinatra 351","null"
"1615237511-41","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.7"
"1615237511-74","https://www.rappi.com.mx/restaurantes/category/pizza","Nambila Pizza","null"
"1615237511-42","https://www.rappi.com.mx/restaurantes/category/pizza","Il Diavolo","4.7"
"1615237511-53","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Ragazzo","null"
"1615237511-47","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","3.5"
"1615237511-58","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema Pizza Buffet","null"
"1615237511-79","https://www.rappi.com.mx/restaurantes/category/pizza","Pixxa","null"
"1615237511-60","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Trattoria","null"
"1615237511-62","https://www.rappi.com.mx/restaurantes/category/pizza","Lynchburg","null"
"1615237511-80","https://www.rappi.com.mx/restaurantes/category/pizza","La Mía Pizza","4.7"
"1615237511-71","https://www.rappi.com.mx/restaurantes/category/pizza","Mama’s y Papa’s","null"
"1615237511-48","https://www.rappi.com.mx/restaurantes/category/pizza","Bruno","null"
"1615237511-64","https://www.rappi.com.mx/restaurantes/category/pizza","Sinatra Pizzeria","null"
"1615237511-50","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelitas Pizza","4.8"
"1615237511-76","https://www.rappi.com.mx/restaurantes/category/pizza","Little Hot Pizza","null"
"1615237511-46","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8"
"1615237511-43","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
"1615237511-67","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Ricum Di Vendi","null"
"1615237511-55","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","null"
"1615237511-68","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema","null"
"1615237511-44","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.3"
"1615237511-77","https://www.rappi.com.mx/restaurantes/category/pizza","Romeo & Julieta Café","null"
"1615237511-65","https://www.rappi.com.mx/restaurantes/category/pizza","Gab's Pizzas, Burritos y Mas","null"
"1615237511-61","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","null"
"1615237511-63","https://www.rappi.com.mx/restaurantes/category/pizza","Fiume 37","null"
"1615237511-75","https://www.rappi.com.mx/restaurantes/category/pizza","Alpaso Pizzería","null"
"1615237511-52","https://www.rappi.com.mx/restaurantes/category/pizza","La Patrona QRO","4.5"
"1615237511-57","https://www.rappi.com.mx/restaurantes/category/pizza","Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.","null"
"1615237511-45","https://www.rappi.com.mx/restaurantes/category/pizza","Cosi Fan Tutte","4.6"
"1615237511-51","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","4.6"
